,10,30,50,100
10,0.5503160340615504,0.6239876274498821,0.252556688650155,0.8926991281303931
20,0.007294782237803221,0.3427911199558834,0.4729285785450673,0.6152272837897165
30,0.8534463088821619,0.5348015871711462,0.740916665960062,0.9114525490189667
40,0.16258698857847786,0.3923609535330407,0.4019557094304149,0.6397256655025828
50,0.10883466894423877,0.37198468363300785,0.8493738060782987,0.5225136061624692
70,0.48751554982580503,0.7141922176335836,0.565933786167967,0.7262991800600757
100,0.40553934521731383,0.09073144097424168,0.8830320503167156,0.6221532581492776
200,0.26092585956433,0.6171979292048585,0.7067142541566771,0.6368212061595652
300,0.7167748860666636,0.43957824889838437,0.9886357796795165,0.2924998181376032
400,0.518861066844371,0.7603292022999621,0.7995030412410556,0.7329911977358686
500,0.34319039046067634,0.6368661111241917,0.8554188786120812,0.13789322150549332
700,0.20012520782744636,0.008992872489044235,0.028660002125257655,0.8861782134410139
1000,0.8509178495762376,0.8577386492982432,0.15291394799747793,0.262194542437311
