,10,30,50,100
10,0.4163975723941771,0.5717128530286448,0.9843738387323092,0.28190852751633655
20,0.8412171821435701,0.05210399467761606,0.06995387327209257,0.8566487584870262
30,0.09343229922928775,0.9151173895509629,0.3212068674564412,0.0922280821362369
40,0.5187041441646126,0.5167095712945805,0.6723768344842966,0.5547159831418639
50,0.3089717657775156,0.39055559968334297,0.013139001328098199,0.314944325411891
70,0.09787326344228497,0.7140695221966998,0.17948828087037128,0.6979509410039848
100,0.8396805001314775,0.1231763660622105,0.7654746573479351,0.09396346540996214
200,0.7123739511844536,0.08058992157096978,0.6860257143593192,0.3649965112130018
300,0.45363845176966444,0.853697026945763,0.8151747549053558,0.3708249897450915
400,0.2992021795463691,0.09591006950662462,0.9467398681262269,0.8438262262717668
500,0.3908267256955733,0.07602369733767544,0.10913541530481419,0.7255417090818492
700,0.49409651730719206,0.024272892740513474,0.1328685664833651,0.5658594219917777
1000,0.9109583714284688,0.217045354919293,0.5469442545389133,0.39234144841905594
