,10,30,50,100
10,0.518453390253538,0.4559571985511239,0.5044489629002813,0.49338710585693435
20,0.4845174045693614,0.4870907164369369,0.44646511320914,0.4654147894308545
30,0.5087571637142774,0.4761097788910688,0.464774529891469,0.42057096264606664
40,0.5470606615278316,0.5371463547280123,0.4476151051425135,0.5204915727275092
50,0.5261586591804083,0.5180363892385715,0.4903204170289536,0.5029156916646761
70,0.5284043454019313,0.5531413888615739,0.5489957630245161,0.4978588469344418
100,0.5526662631905225,0.5327467165919383,0.4549579380497995,0.5362594684753281
200,0.5177976420515747,0.48792153173803005,0.5457479996867357,0.481899651441571
300,0.5029202739072597,0.4981151191074805,0.5250237762734281,0.5516769178882712
400,0.4813412854228619,0.40346801750042727,0.4904470031641973,0.5137049030486883
500,0.4956205603869783,0.49804993735951575,0.5001320586237898,0.5080900674262274
700,0.53647495236486,0.48050870913440785,0.46841238335799645,0.5337471439542574
1000,0.5327265166913191,0.5097513859102197,0.45209657681248583,0.5289366457166721
