,10,30,50,100
10,0.4398799202026006,0.513804897422224,0.4610898960761373,0.5127242292817245
20,0.4634290370758655,0.4632715461140362,0.4956889752218292,0.4965493208214544
30,0.5264315256791078,0.4508367721701703,0.47874353445495965,0.4333113097239689
40,0.5373097816864164,0.4779373316260162,0.46367479553771046,0.581516496507727
50,0.4968840652990882,0.4559462241317776,0.3843295088234782,0.47211442221144856
70,0.41935909972198937,0.5187499658001381,0.5362113031392748,0.43009805094773923
100,0.5178448205617632,0.5116214347170295,0.4983670324614322,0.4571998860921629
200,0.4903373246624806,0.5820369335112586,0.539416617055713,0.46402219452708887
300,0.5183875671659597,0.4911630219995489,0.4444999655246553,0.44453467778148537
400,0.5049279683207712,0.5044142585711298,0.5161082883112654,0.508777512807513
500,0.5121286651848722,0.4420114634999989,0.5129008931020145,0.5015080268738223
700,0.5484868135378289,0.4565051295829506,0.5084240359011819,0.5135425782678299
1000,0.4950916281305261,0.4971858223641435,0.4497192148159491,0.46318312584613885
