,10,30,50,100
10,0.4503534349625874,0.4852922891086045,0.4558129150118877,0.4632957029361233
20,0.45976195526339325,0.48892813258344925,0.5000364684566277,0.47014335231311793
30,0.4722794905924173,0.5395011068666096,0.5240690752465555,0.4697998666343126
40,0.5333916848989046,0.6339195364542468,0.4959627172570345,0.577624090656121
50,0.5622859304429187,0.5776580828244772,0.4935759721008875,0.5388547365321446
70,0.5836672143648562,0.5140420667603193,0.44473823995991607,0.4733964082099311
100,0.56171681946591,0.5376380194029297,0.4879748357905138,0.47006588137875926
200,0.5605436017056177,0.49012520893665085,0.45223565048079883,0.4815497349195009
300,0.518884306982167,0.4626441773348283,0.45879217068205763,0.4270190245373281
400,0.5101775568191268,0.5028787930741563,0.5283933562467641,0.512532316489386
500,0.49972384195805086,0.5321368838202196,0.5165090073421101,0.5042774006550069
700,0.4727969229583941,0.5287358916227927,0.42341824593822397,0.5690829839251559
1000,0.5059320983463071,0.4382446154763771,0.5084298282733187,0.5539489394341641
