,10,30,50,100
10,0.4920972362016267,0.48249507295659894,0.5674846233232905,0.5274138146212836
20,0.4863744566303837,0.5678224411594601,0.3929742247865856,0.558343723863139
30,0.46978532076101015,0.5237320138248712,0.4751264267944051,0.5684150135639016
40,0.48824633040803295,0.5059132861814079,0.53829051667917,0.530454652148494
50,0.5041967945884189,0.45739133908801516,0.5477994108204665,0.48594435342151626
70,0.43851560318103117,0.49709753750353564,0.532734759101743,0.5267986435700214
100,0.46277593995861066,0.5301092462772301,0.45921183538507054,0.4827659874281771
200,0.5355191426768261,0.516367893535362,0.41803206458038145,0.48735256063980265
300,0.47394645258746093,0.4930912932544597,0.5792104450824413,0.5041571475265112
400,0.49970961754292004,0.5473786442085895,0.5033988915907365,0.5037655974636573
500,0.5596324836839317,0.4835890076890082,0.5559443360505585,0.48551138053564785
700,0.46638804696654346,0.5068318460611483,0.44088957790201805,0.4816763785425033
1000,0.47857001016123635,0.5147208007345268,0.4780642104742978,0.5132449862766691
