,10,30,50,100
10,0.5323006188370054,0.5336486395072998,0.5155069007305172,0.4334618703742013
20,0.4828109364017641,0.5281396640296413,0.4639205341244056,0.5218697127598068
30,0.5508806667615661,0.4810199493873898,0.45099526512731264,0.5534738706642809
40,0.48519320815582384,0.49422153021383025,0.48070809303670214,0.5406364352777435
50,0.5717861298518233,0.4493938266943343,0.5478303890114852,0.48488506866495823
70,0.4849529653778577,0.4786506713558299,0.471484817407191,0.5381209855025554
100,0.5158541266310533,0.5218986921495228,0.4553866440173508,0.48364069613156063
200,0.4968009455447184,0.5582066930578502,0.46323764032333975,0.5498669333945698
300,0.4668948556656779,0.4955196610881664,0.5297443027423531,0.49543214716907835
400,0.5344434310440785,0.541418160297709,0.4315452414378825,0.4811941444786306
500,0.47829896110169956,0.5160168179155886,0.5648569607552615,0.5595648861255428
700,0.5251821161054083,0.3894930713969699,0.49296706941390406,0.5075600267518997
1000,0.4778316000144187,0.4549534696127959,0.5010107221396086,0.46977785487596213
