,10,30,50,100
10,0.46062813438186756,0.5098440229082064,0.46080806467207763,0.42019762423497015
20,0.5202752640472638,0.48032381060841217,0.5542952455931962,0.44303399099012264
30,0.49350803913974134,0.4406500073380914,0.49750484187857236,0.5446209346093477
40,0.47229228139435137,0.5209778677351447,0.5247230395599733,0.5422726887533846
50,0.5625384399084877,0.41719880114155644,0.4884608397554904,0.5089385216771679
70,0.46755798922961533,0.511017707202061,0.49805098736285175,0.5213034879774346
100,0.5994596380224128,0.4906044107493115,0.47919384393339515,0.4842560348282064
200,0.5123011418967346,0.5436678401898603,0.512229231515744,0.5214275925521875
300,0.48608146469550556,0.48401944738933456,0.4434449401787951,0.4705073566848041
400,0.5389304886231286,0.5416955630204467,0.4388935855548961,0.5497320807763609
500,0.5972348903572721,0.5068071087982351,0.5044312786929988,0.5502120251750696
700,0.47778907476109356,0.5266442441840871,0.48204636540362333,0.5382628864371498
1000,0.5590571824781932,0.5202425389408873,0.4612823170653745,0.4856659372741905
